data: 0.277634, last: 1
data: -4.75264, last: 1
data: -1.29599, last: 1
data: 2.4536, last: 1
data: -1.2677, last: 1
data: -7.68649, last: 1
data: 3.01524, last: 1
data: 2.09593, last: 1
data: -0.131622, last: 1
data: -1.22005, last: 1
data: -0.861084, last: 1
data: -0.354782, last: 1
data: -1.47386, last: 1
data: 4.51797, last: 1
data: -2.05196, last: 1
data: -0.020874, last: 1
data: 0.781815, last: 1
data: 1.38557, last: 1
data: -4.61024, last: 1
data: 0.616776, last: 1
data: -2.47527, last: 1
data: 3.03577, last: 1
data: -1.12346, last: 1
data: 2.76471, last: 1
data: -1.59451, last: 1
data: -1.677, last: 1
data: -1.50032, last: 1
data: 1.82581, last: 1
data: 1.90715, last: 1
data: -3.05879, last: 1
data: 1.07863, last: 1
data: 1.0155, last: 1
data: -3.61055, last: 1
data: -5.54364, last: 1
data: 1.14746, last: 1
data: 0.675827, last: 1
data: -1.50229, last: 1
data: -5.11974, last: 1
data: 3.11588, last: 1
data: 1.23491, last: 1
data: 0.395416, last: 1
data: -1.63336, last: 1
data: 2.95717, last: 1
data: -1.8221, last: 1
data: -2.08563, last: 1
data: -1.78966, last: 1
data: -0.936859, last: 1
data: 2.30055, last: 1
data: -0.428711, last: 1
data: 1.3006, last: 1
data: 1.22951, last: 1
data: 1.29791, last: 1
data: 2.96539, last: 1
data: -3.84918, last: 1
data: 1.68541, last: 1
data: -6.48042, last: 1
data: -5.03555, last: 1
data: 4.2502, last: 1
data: 1.41063, last: 1
data: 4.51291, last: 1
data: 2.83292, last: 1
data: 1.24838, last: 1
data: -3.28856, last: 1
data: 3.79031, last: 1
data: -0.0796356, last: 1
data: 0.870453, last: 1
data: 3.60439, last: 1
data: -4.73059, last: 1
data: 3.89241, last: 1
data: -6.05022, last: 1
data: 1.67439, last: 1
data: 2.5072, last: 1
data: 0.0249634, last: 1
data: -1.34454, last: 1
data: -4.09036, last: 1
data: 0.464355, last: 1
data: -2.2562, last: 1
data: 1.62764, last: 1
data: -0.173859, last: 1
data: 0.834442, last: 1
data: 1.2811, last: 1
data: -4.99408, last: 1
data: 0.296875, last: 1
data: 2.52594, last: 1
data: 1.08052, last: 1
data: -6.34293, last: 1
data: 2.68835, last: 1
data: -3.35503, last: 1
data: -3.30324, last: 1
data: 3.35576, last: 1
data: -1.83659, last: 1
data: -1.42107, last: 1
data: -5.13879, last: 1
data: -6.34293, last: 1
data: -1.18892, last: 1
data: 2.40201, last: 1
data: 4.14903, last: 1
data: 3.38487, last: 1
data: 2.34615, last: 1
data: -2.02817, last: 1
data: 1.34828, last: 1
data: 4.67357, last: 1
data: -5.39439, last: 1
data: -4.70723, last: 1
data: 1.33015, last: 1
data: -1.71672, last: 1
data: 4.55562, last: 1
data: 0.131866, last: 1
data: 0.60878, last: 1
data: -3.97604, last: 1
data: -3.19997, last: 1
data: 1.32153, last: 1
data: -0.91246, last: 1
data: 2.23338, last: 1
data: 2.79187, last: 1
data: -0.666641, last: 1
data: -3.50679, last: 1
data: 2.65608, last: 1
data: 2.0327, last: 1
data: -2.81497, last: 1
data: -0.0059967, last: 1
data: -1.67302, last: 1
data: 0.998062, last: 1
data: 1.70508, last: 1
data: 1.17426, last: 1
data: -0.605423, last: 1
data: 2.16168, last: 1
data: 2.08662, last: 1
data: 5.1936, last: 1
data: 2.19168, last: 1
data: -3.5856, last: 1
data: 4.02982, last: 1
data: 2.27795, last: 1
data: -4.60191, last: 1
data: -6.54338, last: 1
data: -4.99408, last: 1
data: 3.36589, last: 1
data: -3.35503, last: 1
data: 3.70213, last: 1
data: -2.07401, last: 1
data: 0.904846, last: 1
data: -2.42413, last: 1
data: -1.12076, last: 1
data: -5.39439, last: 1
data: -3.56778, last: 1
data: -2.44215, last: 1
data: 2.70695, last: 1
data: 4.27068, last: 1
data: -2.4678, last: 1
data: 3.92195, last: 1
data: -3.29048, last: 1
data: 1.41817, last: 1
data: -7.68649, last: 1
data: 1.82578, last: 1
data: -1.10385, last: 1
data: -6.75504, last: 1
data: 2.51962, last: 1
data: -4.76086, last: 1
data: 0.400604, last: 1
data: -7.00299, last: 1
data: -5.15025, last: 1
data: -2.98401, last: 1
data: 0.312653, last: 1
data: -0.282074, last: 1
data: 0.981277, last: 1
data: 0.0660858, last: 1
data: -7.68649, last: 1
data: -3.41238, last: 1
data: 0.335907, last: 1
data: -0.767868, last: 1
data: -0.722885, last: 1
data: 3.84904, last: 1
data: -0.650772, last: 1
data: -1.76501, last: 1
data: 0.282028, last: 1
data: -0.472244, last: 1
data: 0.861557, last: 1
data: 1.88156, last: 1
data: 0.79451, last: 1
data: -0.490784, last: 1
data: 2.21313, last: 1
data: -1.72939, last: 1
data: 1.18985, last: 1
data: 2.95787, last: 1
data: 2.69016, last: 1
data: -1.49989, last: 1
data: -0.400818, last: 1
data: -1.07364, last: 1
data: -6.07153, last: 1
data: -3.61775, last: 1
data: 2.46088, last: 1
data: 1.43321, last: 1
data: -1.94498, last: 1
data: 1.97804, last: 1
data: -2.3206, last: 1
data: 2.0123, last: 1
data: -2.37164, last: 1
data: 1.93404, last: 1
data: 1.75323, last: 1
data: -2.37074, last: 1
data: 1.88493, last: 1
data: -3.32588, last: 1
data: -0.828354, last: 1
data: -0.0634155, last: 1
data: -2.3605, last: 1
data: 2.53229, last: 1
data: 3.3006, last: 1
data: -5.0428, last: 1
data: 0.211243, last: 1
data: 2.17902, last: 1
data: -0.616531, last: 1
data: -1.48042, last: 1
data: 3.23026, last: 1
data: 1.61656, last: 1
data: -3.46713, last: 1
data: 3.21838, last: 1
data: 4.7979, last: 1
data: 0.390579, last: 1
data: 5.22285, last: 1
data: -1.04602, last: 1
data: 2.17191, last: 1
data: -0.704697, last: 1
data: -6.48042, last: 1
data: -1.75061, last: 1
data: 0.977631, last: 1
data: 0.448624, last: 1
data: 0.876801, last: 1
data: 1.35608, last: 1
data: 3.14185, last: 1
data: -3.22514, last: 1
data: 0.763443, last: 1
data: 3.33002, last: 1
data: -1.49632, last: 1
data: -0.449951, last: 1
data: -4.35466, last: 1
data: 0.0532227, last: 1
data: -0.261215, last: 1
data: 1.83521, last: 1
data: 0.454147, last: 1
data: 0.710205, last: 1
data: -0.109695, last: 1
data: 1.93184, last: 1
data: 2.94423, last: 1
data: 1.50795, last: 1
data: 0.14505, last: 1
data: 4.69775, last: 1
data: 1.71672, last: 1
data: 1.0804, last: 1
data: -6.75504, last: 1
data: 2.395, last: 1
data: -1.04985, last: 1
data: 2.92836, last: 1
